timestamp,active_addresses,average_transaction_value,block_height,block_size,block_time,current_supply,difficulty,hashrate,large_transaction_count,new_addresses,transaction_count,transaction_count_all_time,unique_addresses_all_time,zero_balance_addresses_all_time
2018-02-16,777060,5.87465329048658,509532.0,989634.0,536.423076923077,16869139.795299403,2874674234415.94,23016593.3469727,10573,281209,187738,299885525,375172728,338433546
2018-02-17,773685,8.48097514619107,509681.0,973017.0,578.439189189189,16871002.2952995,2874674234415.94,21344736.065993104,9821,265420,173789,300059314,375438148,338821454
2018-02-18,733485,10.2763320522248,509843.0,972766.0,526.875776397516,16873027.2952995,2874674234415.94,23433667.6244441,10298,245015,159495,300218809,375683163,339174838
2018-02-19,853281,9.5509112660927,510005.0,1006584.0,529.198757763976,16875052.295299403,2874674234415.94,23330802.7321125,12306,288048,187367,300406176,375971211,339621208
2018-02-20,718120,6.38944788153445,510146.0,1010840.0,602.514285714286,16876814.7952995,2967853337744.77,21156067.7102067,14671,308994,198455,300604631,376280205,339947084
2018-02-21,709530,6.46099843479247,510315.0,985094.0,509.946428571428,16878927.2952995,3007383866429.73,25329357.4170497,13242,309081,205201,300809832,376589286,340247411
2018-02-22,717202,8.15824379375736,510464.0,918956.0,575.736486486487,16880789.7952995,3007383866429.73,22434943.1658556,11769,280655,183235,300993067,376869941,340485446
2018-02-23,743339,5.455457797279919,510612.0,1006292.0,581.496598639456,16882639.795299403,3007383866429.73,22212710.070970498,11169,273190,185193,301178260,377143131,340806661
2018-02-24,707478,4.828288619699481,510757.0,1027894.0,594.861111111112,16884452.295299403,3007383866429.73,21713665.7810887,8730,225200,154534,301332794,377368331,341173347
2018-02-25,531590,4.1788327424986,510928.0,710161.0,503.27058823529404,16886589.795299403,3007383866429.73,25665349.127843,7053,220622,144869,301477663,377588953,341385222
2018-02-26,675606,4.532521915892191,511069.0,982314.0,611.2,16888352.2952995,3007383866429.73,21133205.7474374,10278,282680,186474,301664137,377871633,341685498
2018-02-27,720090,4.30511349379867,511229.0,1016192.0,539.1132075471701,16890352.2952995,3007383866429.73,23959003.7343012,14793,333757,219624,301883761,378205390,341987950
2018-02-28,809779,7.30930158085989,511384.0,1054216.0,556.889610389611,16892289.7952987,3007383866429.73,23194211.4053753,11966,275526,189223,302072984,378480916,342356826
2018-03-01,824240,5.65845488250924,511549.0,1068240.0,522.817073170732,16894352.2952987,3007383866429.73,24705802.4989472,12767,347148,233744,302306728,378828064,342744753
2018-03-02,752596,5.00210830183649,511705.0,861064.0,541.741935483871,16896302.2952987,3007383866429.73,23842745.9770064,13654,302934,195073,302501801,379130998,343051310
2018-03-03,935002,4.46111425215417,511885.0,976833.0,474.949720670391,16898552.2952987,3007383866429.73,27195753.130672302,11835,269581,177024,302678825,379400579,343605174
2018-03-04,805403,3.89392345818163,512033.0,1002853.0,583.319727891157,16900402.2952987,3007383866429.73,22143285.637759,9452,246814,160231,302839056,379647393,344057358
2018-03-05,854266,4.48063598215396,512182.0,1016060.0,579.02027027027,16902264.7952987,3233581400367.36,23985561.605726,12870,308787,201438,303040494,379956180,344531314
2018-03-06,845625,4.56026266847046,512338.0,1022209.0,553.541935483871,16904214.7952987,3290605988755.0,25532022.4173626,12472,300339,206016,303246510,380256519,345000467
2018-03-07,928851,4.3520396637723,512495.0,1022321.0,537.75,16906177.2952987,3290605988755.0,26281813.306786604,11703,306933,213978,303460488,380563452,345532967
